Ссылка,Заголовок,Текст,Темы,Дата,Время
https://www.metalinfo.ru/ru/news/159195,Арбитраж Москвы приостановил производство по иску НЛМК к ФАС,"Арбитражный суд Москвы 20 марта приостановил производство по иску Новолипецкого металлургического комбината (НЛМК) к Федеральной антимонопольной службе (ФАС) РФ, следует из картотеки арбитражных дел.
""Приостановить производство"", - говорится в картотеке.
НЛМК оспаривает в суде решение ФАС по делу о завышении цен на горячекатаный плоский стальной прокат на внутреннем рынке в 2021 году. ФАС выдала компании предписания прекратить злоупотреблять доминирующим положением и совершить действия, направленные на обеспечение конкуренции из-за роста цен на горячекатаный прокат.
В апреле 2021 года ФАС возбудила дела в отношении крупнейших производителей горячекатаного плоского стального проката - ""Северстали"", ММК и НЛМК - из-за установления и поддержания монопольно высокой цены на продукцию на внутреннем рынке. Также она признала компании нарушившими антимонопольное законодательство, выдав предписания прекратить злоупотреблять доминирующим положением и совершать действия, направленные на обеспечение конкуренции. Металлурги не согласились с выводами ведомства, заявив о соответствии своего ценообразования требованиям антимонопольного законодательства.
В начале января Арбитражный суд Москвы признал законными решение, предписание и штраф ФАС в отношении ""Северстали"" по делу о завышении цен в 2021 году на горячекатаный прокат в размере 8,7 млрд рублей.",НЛМК;ФАС;Цены на прокат;судебные разбирательства,2024-03-20T14:25,20 марта 2024 г.
https://www.metalinfo.ru/ru/news/159173,На ЧТПЗ реализовали проект по улучшению охраны труда (видео),"На Челябинском трубопрокатном заводе реализовали проект по улучшению охраны труда. В цехе № 2 установили автоматические датчики движения, при срабатывании которых отключается движение передаточных тележек. Они используются в цехе для перемещения производственного инструмента и вспомогательных материалов.
Подробности смотрите в видеосюжете.
",ЧТПЗ;ТМК;охрана труда,2024-03-20T14:00,20 марта 2024 г.
https://www.metalinfo.ru/ru/news/159192,В Минпромторге объяснили причины роста цен на стальной прокат в РФ,"Минпромторг РФ на данный момент фиксирует незначительный рост цен на стальной прокат, что связано с сезонной волатильностью и ростом спроса в строительстве. Загрузка металлургических предприятий находится на высоком уровне, но не на пределе мощностей, дефицита на рынке нет, сообщилиТАССв пресс-службе Минпромторга.
Стоимость металлопроката с оцинкованным и полимерным покрытием у производителей в первые месяцы этого года оставалась без изменений, по холоднокатаному прокату рост составил менее 1%, сообщили в пресс-службе Минпромторга.
""В текущий момент наблюдаем обычный сезонный фактор повышения спроса на прокат с покрытием со стороны основного потребителя - строительного сектора. Таким образом, незначительный рост цен объясняется сезонной волатильностью, загрузка предприятий находится на высоком уровне, но не на пределе своих возможностей, никакого дефицита на рынке нет"", - рассказали в пресс-службе министерства.
Кроме того, там отметили, что по данным еженедельного мониторинга на основные ценообразующие материальные ресурсы, которые ведет Главгосэкспертиза, Минстрой России при участии Минпромторга России значительного роста цен на оцинкованный прокат также не наблюдается, волатильность в пределах 1-2%, что по принятой методике не требует дополнительных регуляторных мер от государства.
Ранеегазета ""Ведомости""со ссылкой на данные отраслевого агентства Metals & Mining Intelligence (MMI) сообщила, что с января по март 2024 года цена на холоднокатаный прокат в РФ выросла на 2,5%, цена на оцинкованный прокат - на 2%.",Цены на прокат;оцинкованный и окрашенный прокат;Холоднокатаный прокат,2024-03-20T13:03,20 марта 2024 г.
https://www.metalinfo.ru/ru/news/159179,Северсталь направит на модернизацию машиностроительного центра около 1 млрд руб.,"На Череповецком металлургическом комбинате (ЧерМК, ключевой актив компании «Северсталь») стартовала масштабная программа по установке дополнительного оборудования различного типа в цехах машиностроительного центра «ССМ-Тяжмаш» (входит в дирекцию по ремонтам дивизиона «Северсталь Российская сталь»).
С 2024 года планируется закупить больше 10 единиц техники для выполнения различных операций на сумму порядка 1 миллиарда рублей. Поставщиками выступят компании России и Китая.
«Чтобы исключить риски, связанные с геополитической обстановкой и зависимостью от внешнего рынка, мы приступаем к реализации целого комплекса мероприятий по развитию механообрабатывающих мощностей. Модернизация парка оборудования позволит отказаться от закупки услуг у внешних поставщиков, аккумулировать средства внутри компании, увеличить стойкость сменного оборудования за счет собственных отлаженных технологий и применяемых материалов, а также снизить себестоимость продукции для внутренних клиентов дивизиона», - прокомментировал генеральный директор дивизиона «Северсталь Российская сталь и ресурсных активов Евгений Виноградов.
В перечне нового оборудования, которое займет свои места в цехах машиностроительного центра: карусельный станок, круглошлифовальный станок, зубошлифовальный станок для изготовления зубчатых передач, пятикоординатный фрезерный центр с ЧПУ для изготовления модельной оснастки, установка лазерной резки, станки для чистовой горизонтально расточной обработки. Комплекс новой техники позволит повысить уровень ремонтной безопасности и улучшить условия труда для работников машиностроительного центра.
Напомним, благодаря экспертизе машиностроителей на ЧерМК освоено производство кузовов для карьерных самосвалов, коксовозных и коксотушильных вагонов, грузоподъемных кранов различной конфигурации, промышленных ковшей, обезвоживателей и другого узкоспециализированного оборудования.",Северсталь;Инвестиции;оборудование для металлургии;Металлургмаш,2024-03-20T12:03,20 марта 2024 г.
https://www.metalinfo.ru/ru/news/159175,Тихвинский ферросплавный завод выходит из простоя,"Ферросплавный завод в Тихвинском районе Ленобласти возобновил работу, сообщила пресс-служба администрации района.
Предприятие запустило печь, вывело сотрудников на работу. Никаких дополнительных подробностей не сообщается.
С 1 марта Тихвинский ферросплавный завод (ТФЗ) вышел в режим простоя, сообщал 47news. Предприятие принадлежит турецкой группе Yildirim, до 95% выпускаемой им продукции раньше уходило на экспорт. Решение связано с отсутствием финансирования и невозможностью осуществлять экспорт продукции.",Тихвинский ферросплавный завод;Ленинградская область;Ферросплавы,2024-03-20T11:30,20 марта 2024 г.
https://www.metalinfo.ru/ru/news/159170,ММК в 2023 году вложил в экологию свыше 19 млрд рублей,"Магнитогорский металлургический комбинат направил на природоохранную деятельность в прошлом году более 19 млрд рублей, из них 15 млрд рублей – на капитальное строительство природоохранных объектов.
За год реализовано 46 проектов по снижению и предотвращению негативного воздействия на окружающую среду, еще 16 находятся в работе. Как результат, достигнут серьезный прогресс в сфере экологии:
-       На 9,3% за год сократились удельные выбросы загрязняющих веществ в атмосферу (с 14,55 кг/т стали до 13,2 кг/т стали).
-       На 19% снизились удельные сбросы загрязняющих веществ в водные объекты (с 1,63 кг/т стали до 1,32 кг/т стали).
-       1,7 млн тонн отходов производства использовано в аглошихте в качестве вторичных материальных ресурсов.
-       9,6 млн тонн текущих и отвальных шлаков переработано на специализированных установках.
Один из главных природоохранных проектов Магнитки – масштабная модернизация коксохимического производства, в рамках которой идет строительство комплекса новой коксовой батареи (№ 12), а также реконструкция биохимической установки и цеха улавливания и переработки химических продуктов. Пуск новой батареи позволит вывести из эксплуатации устаревшие мощности и обеспечит сокращение валовых выбросов загрязняющих веществ в атмосферу на 11,35 тыс. тонн в год.
В ПАО «ММК» разработана и реализуется долгосрочная Экологическая программа, которая охватывает все производственные процессы и основана на применении наилучших доступных технологий. Она позволяет снизить воздействие на окружающую среду и обеспечить экологическую безопасность всех технологических процессов.",ММК;Экология,2024-03-20T10:07,20 марта 2024 г.
https://www.metalinfo.ru/ru/news/159168,Поставки стальных труб железнодорожным транспортом на Газпром нефть сократились,"В феврале текущего года поставкистальных трубв адрес Газпром нефти и её дочерних компаний составили 15,7 тыс. тонн. По отношению к предыдущему месяцу объемы поставок упали на 8%, а в годовом исчислении сократились на 38%, следует из данных железнодорожной статистики.
За два месяца 2024 года объемы поставок составили 32,8 тыс. тонн, что на 44% ниже уровня прошлого года.
В структуре компании «Газпром нефть» лидером по потреблению является Газпромнефть-НоябрьскНефтеГаз. Объём поставок в адрес этого дочернего предприятия за 11 месяцев 2023 года составил 112,4 тыс. тонн (годом ранее 137,2 тыс. тонн), что составляет 37% от общего объёма поставок Газпром нефти.",стальные трубы;Газпром нефть;Железнодорожный транспорт,2024-03-20T09:28,20 марта 2024 г.
https://www.metalinfo.ru/ru/news/159167,Листовой прокат продолжает дорожать с начала года,"В России в первые месяцы 2024 г. сохраняется негативный тренд на рост стоимости различных видов стального проката, следует из данных отраслевого агентства Metals & Mining Intelligence (MMI), с которыми ознакомились «Ведомости».
В частности, с января по март 2024 г. цена на холоднокатаный прокат в стране выросла на 2,5% до 84 900 руб./т, оцинкованный подорожал на 2% до 106 400 руб./т, а полимерный вырос в цене на 1,6% до 140 200 руб./т.
В течение 2023 г. холоднокатаный прокат подорожал на 40% до 82 800 руб./т, а оцинкованный – на 41% до 104 400 руб./т, следует из данных ММI. Аналогичная ситуация складывалась и в сегменте полимерного проката, который в прошлом году вырос в цене на 44% до 138 300 руб./т.
С начала 2024 г. цены на прокат уже выросли на 3–5%, говорил 14 марта замдиректора по связям с инвесторами ММК Илья Нечаев. Он отмечал, что на фоне высокого спроса и невозможности металлургов его удовлетворить (из-за высокой загрузки мощностей и плановых и неплановых ремонтов оборудования) на внутреннем рынке России может возникнуть дефицит проката.",листовой прокат;оцинкованный и окрашенный прокат;Холоднокатаный прокат;Цены на прокат,2024-03-20T09:02,20 марта 2024 г.
https://www.metalinfo.ru/ru/news/159155,2024 г. станет годом стабилизации на рынке арматурного проката,"Новоросметалл и Новороссийский прокатный завод, объединяет которые компания Новосталь, - заметный игрок на рынке сортового проката Юге России. О текущем положении дел на предприятиях и освоении нового сортамента металлопродукции журналу «Металлоснабжение и сбыт» рассказал Р. Сахаров, заместитель генерального директора по сбыту Новороссийского прокатного завода.
- Роман Игоревич, как сложился прошлый год для компании? Как активы отработали? Какие ожидания и планы на 2024 г.?- Прошлый год оказался довольно сложным не только для нашей группы компаний, но и в целом для рынка. Особенно мы это прочувствовали в первом квартале, когда возникли определенные трудности с ломозаготовкой, в связи с чем нам не удалось достичь плановых производственных показателей в первом полугодии. Однако уже во второй половине года мы смогли справиться с этой ситуацией и в целом год завершился неплохо, с удовлетворительным финансовым результатом.
На данный период времени мы располагаем двумя производственными площадками (г.Новороссийск, г.Шахты). Установленное оборудование позволяет производить суммарно в месяц до 120 тыс. тонн непрерывно литой заготовки (НЛЗ), при этом около 80 тыс. тонн может быть переработано в арматурный прокат. В связи с применением «курсовой» экспортной пошлины мы не имеем возможности полноценно работать на внешних рынках, и, как следствие, ориентированы на внутреннее потребление. Понимая существующий профицит на российском рынке заготовки и невозможность работы с положительной маржинальностью на экспорте, мы намерены ограничивать загрузку электросталеплавильных цехов в производстве НЛЗ до объёмов, не превышающих потребности прокатных цехов. Данное обстоятельство приведёт к неизбежным простоям сталеплавильного производства вероятно вплоть до отмены пошлины.
Что касается арматурного проката – здесь ситуация несколько иная. В принципе, мы надеемся, что 2024 станет годом стабилизации, годом работы всех участников рынка над ошибками. За последние пару лет рынок достигал рекордных уровней стоимости арматурного проката – цена на вторичном рынке уходила далеко за 70 тыс. руб/тн, после чего каждый раз болезненно корректировались вниз вплоть до отметки в 40 тыс. рублей за тонну, причём понижательный тренд мог сохраняться месяцами. Думаю, все уже наигрались и хотят стабильности.
Полную версию интервью читайте в мартовском выпуске МСС.",арматура;интервью;арматурный и фасонный прокат;арматурный прокат;telegram,2024-03-20T08:14,20 марта 2024 г.
https://www.metalinfo.ru/ru/news/159154,В 2024 г. Уралтрубпром рассчитывает прирасти в реализации трубной продукции в пределах 6-8%,"Уралтрубпром активно инвестирует в развитие технологий и модернизацию оборудования, что позволяет оставаться конкурентоспособным и производить продукцию самого высокого качества. О текущем положении дел на предприятии журналу «Металлоснабжение и сбыт» рассказал начальник отдела маркетинга Уралтрубпрома Александр Новокрещенов.
- Александр Анатольевич, как Уралтрубпром отработал 2023 г.? Какие планы на 2024 г.?- Прошедший 2023 г. сложился для предприятия успешно. Продажи компании выросли на 29%. В первую очередь рост был обеспечен поставками линейных труб. Это трубы, как среднего сечения, так и трубы большого диаметра. Хочу отметить, что Уралтрубпром по-прежнему №1 в сегменте профильных труб крупного сечения.
На 2024 год мы рассчитываем прирасти в реализации трубной продукции в пределах 6-8%. Считаю, что это достаточно хороший показатель.
- За счет каких секторов удалось нарастить производство и сбыт, кто выступает локомотивом спроса сейчас?- Обсадные трубы - один из самых востребованных в 2023 году у клиентов вид трубной продукции. Существенно вырослипоставки компаниям строительного сектора. В текущем году ожидаем увеличения потребления профильных труб.
Полную версию интервью читайтев мартовском выпуске МСС.
Рынок труб будет обсуждаться на 14-й Общероссийской конференции ""Стальные трубы: производство и региональный сбыт"", которая пройдет 14-15 мая в Новосибирске.",Уралтрубпром;интервью;telegram;стальные трубы;Трубы,2024-03-20T07:03,20 марта 2024 г.
